,Variety,apple,character,cherry,cinnamon,dry,fresh,herb,oak,plum,soft,spice,strawberry,sweet,vanilla,Color
78,Zweigelt,0.04949975863849673,0.09074955750391067,0.7748320891491308,0.1724339657232775,0.07007678827631982,0.4762793837350417,0.0278555570196503,0.1099900192314845,0.1048365451650168,0.241672814118415,0.1954410302072778,0.05345648556075002,0.04483613737998825,0.0461301110506275,Red
79,Nerello Mascalese,0.07989222576030171,0.01331537096005028,0.7240159302081947,0.1739419253904491,0.06283521760194444,0.2211361055321191,0.2997243503543197,0.1775230362636077,0.02603159525692573,0.02294459081482076,0.3807038150576178,0.3106020681486946,0.0,0.1489072814806939,Red
80,Melon,0.6525727666185385,0.5546868516257578,0.0,0.0,0.06158980011086964,0.4386669988084395,0.0,0.0,0.007973637285093847,0.1967859289522742,0.173251985768761,0.0,0.0,0.03800934466743621,White
81,Rhône-style White Blend,0.6261437772765084,0.09783496519945445,0.009672222023198297,0.06390209581226876,0.2123742116597446,0.3713833455697933,0.04404461801976447,0.3812727670023585,0.02869015317359954,0.1938737372177965,0.2237783362353784,0.0,0.2481288347766883,0.3373472993334586,White
82,Vidal,0.6105057742399782,0.0,0.0,0.0,0.2880975925245099,0.2414053397481306,0.3435567944757947,0.0,0.0,0.0,0.2493593714954296,0.0,0.5529869542396427,0.0,Rose
83,Cannonau,0.03965881504180759,0.0,0.7841549562148935,0.05180727347193385,0.0,0.09409099919909228,0.4463530385255978,0.04067221537229119,0.193832793813075,0.06833871065740832,0.3239706358351768,0.0,0.1077670757464544,0.1108772401523637,Red
84,Verdelho,0.5767729248376992,0.5243390225797265,0.0,0.0,0.3464097196523691,0.2902667645777722,0.0,0.0,0.0,0.2258807576114547,0.299830724774536,0.0,0.09498768113907449,0.1954580628679593,White
85,Tempranillo,0.005457944236123366,0.06094704397004426,0.410085910841203,0.0273310730319708,0.1742824797429035,0.1690568598949361,0.08292808265435674,0.4515244789930246,0.6384395831205346,0.05956463533035147,0.2541381500479805,0.05422683327206677,0.1038182009487482,0.2611018680994994,Red
86,Marsanne,0.2861152887759845,0.04768588146266409,0.0,0.06229322532915141,0.2700355323696406,0.1131353074917045,0.05366962694975536,0.7335659571607649,0.0,0.1232560145437445,0.1558173164935391,0.0,0.3455452375774692,0.3555176942958215,White
87,Scheurebe,0.155683758701646,0.0,0.0,0.0,0.4408028684047837,0.4924820337291517,0.1752193520464762,0.0,0.1521811373771458,0.1341344582377699,0.254354378680315,0.0,0.5640640346517801,0.2901714786181079,White
88,Kerner,0.6329631595268712,0.0,0.0,0.0,0.1706829883500295,0.2860404658769211,0.6106191291143486,0.0,0.0,0.0779071728443624,0.2215988807489125,0.0,0.2457122212679721,0.0,White
89,Syrah-Grenache,0.0,0.04352412163899114,0.7314945570818382,0.05685661737497427,0.0410780542626231,0.3442049466142981,0.1469569168083442,0.1785451680615985,0.3403592199777937,0.2999970979636503,0.1422184434576476,0.1692114854327091,0.1576939808051064,0.08112251937431489,Red
90,Dolcetto,0.0,0.0420982629334941,0.8219841408241838,0.04124548763351361,0.02979924690074106,0.2080804534346528,0.1066069346845415,0.06476099758750031,0.1131655888044294,0.1360167818345713,0.4470678535015701,0.09547304911628939,0.1429949018132979,0.01961623245825563,Red
91,Vilana,0.5950660825780386,0.2975330412890193,0.0,0.0,0.0,0.7059005953686868,0.0,0.0,0.0,0.0,0.2430530727324124,0.0,0.0,0.0,White
